City,Slug
Alexandria,Alexandria egy
Amman,Amman jord
Touba,Touba sem
Arbil,Erbil
Assuit:Egypt,Asyut
Baghdad,Baghdad
Basrah:Iraq,Basra
Beirut,Beirut
Cairo,Cairo 
El-Gouna,Hurghada
Kairouan,Kairouan
Lagos,Lagos ni
Khartoum,Khartoum
Mansoura,Mansoura
Mosul,Mosul
Nairobi,Nairobi
Rabat,Rabat mo
Sfax,Sfax
Sohag,Sohag
Sousse,Sousse
Suez,Suez
Sulaymaniyah,Sulaymaniyah
Tunis,Tunis
Accra,Accra
Johannesburg,Johannesburg
Pretoria,Pretoria
Cape Town,Cape Town
Durban,Durban sou
Kumasi,Kumasi
Bangalore,Bangalore
Bangkok,Bangkok
Chennai,Chennai
Delhi,Delhi
Hanoi,Hanoi
Ho Chi Minh City,Ho Chi Minh City
Hyderabad,Hyderabad in
Jaipur,Jaipur
Jakarta,Jakarta
Kuala Lumpur,Kuala Lumpur
Manila,Manila
Mumbai,Mumbai
Pune,Pune
Singapore,Singapore
Tashkent:Uzbekistan,Tashkent
Tokyo,Tokyo
Hong Kong,Hong Kong
Berlin,Berlin
Buenos Aires,Buenos Aires
Caracas,Caracas
Lima,Lima pe
Managua,Managua
Mexico City,Mexico City
Salvador:Brazil,Salvador bra
Medellin,Medellin
San Luis Potosi,San Luis Potosi
Aguascalientes,Aguascalientes
Tuxtla Gutierrez,Tuxtla Gutierrez
Merida:Mexico,Merida me
Dakar,Dakar
Saint-Louis,Saint-Louis sen
Touba:Senegal,Touba sen
Ziguinchor,Ziguinchor
Thies,Thies
Bambey:Senegal,Bambey sen
Taipei,Taipei
London,London united
Barcelona,Barcelona
Paris,Paris
Guadalajara,Guadalajara me
Tampico,Tampico me
Colima:Mexico,Colima me
Leon:Mexico,Leon me
Queretaro,Queretaro me
